--- CHECKING COMISIONES FOR NULLS IN REQUIRED FIELDS ---
Found 63 invalid comisiones:
(35, 'C3DM2', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 58, 26, 15824), datetime.datetime(2026, 3, 30, 14, 43, 29, 438256))
(40, 'C3AT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 9, 48, 42524), datetime.datetime(2026, 3, 30, 14, 43, 29, 438257))
(41, 'C3AT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 10, 4, 451019), datetime.datetime(2026, 3, 30, 14, 43, 29, 438257))
(44, 'C3BT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 12, 34, 630920), datetime.datetime(2026, 3, 30, 14, 43, 29, 438257))
(45, 'C3BT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 12, 49, 506817), datetime.datetime(2026, 3, 30, 14, 43, 29, 438257))
(48, 'C3DT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 16, 54, 398157), datetime.datetime(2026, 3, 30, 14, 43, 29, 438257))
(49, 'C3DT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 17, 19, 705758), datetime.datetime(2026, 3, 30, 14, 43, 29, 438258))
(51, 'C3CT1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 18, 59, 665208), datetime.datetime(2026, 3, 30, 14, 43, 29, 438258))
(52, 'C3CT2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 41, 24, 28427), datetime.datetime(2026, 3, 30, 14, 43, 29, 438258))
(17, 'C4T1', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 53, 6, 518442), datetime.datetime(2026, 3, 30, 14, 43, 30, 272640))
(26, 'C4T3', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 56, 15, 206124), datetime.datetime(2026, 3, 30, 14, 43, 30, 272642))
(27, 'C4T4', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 56, 28, 151623), datetime.datetime(2026, 3, 30, 14, 43, 30, 272642))
(30, 'C4T5', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 57, 16, 412342), datetime.datetime(2026, 3, 30, 14, 43, 30, 272642))
(31, 'C4T6', None, 'mañana', datetime.datetime(2026, 3, 13, 11, 57, 32, 517662), datetime.datetime(2026, 3, 30, 14, 43, 30, 272642))
(42, 'C4M11', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 12, 6, 168522), datetime.datetime(2026, 3, 30, 14, 43, 30, 272643))
(43, 'C4M4', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 12, 20, 8877), datetime.datetime(2026, 3, 30, 14, 43, 30, 272643))
(50, 'C4M6', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 18, 42, 249691), datetime.datetime(2026, 3, 30, 14, 43, 30, 272643))
(53, 'C4M9', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 41, 42, 39968), datetime.datetime(2026, 3, 30, 14, 43, 30, 272643))
(54, 'C4M10', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 41, 59, 189775), datetime.datetime(2026, 3, 30, 14, 43, 30, 272643))
(63, 'C4M1', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 53, 50, 771912), datetime.datetime(2026, 3, 30, 14, 43, 30, 272644))
(64, 'C4M2', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 54, 6, 621357), datetime.datetime(2026, 3, 30, 14, 43, 30, 272644))
(65, 'C4M3', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 54, 19, 659386), datetime.datetime(2026, 3, 30, 14, 43, 30, 272644))
(66, 'C4M7', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 54, 33, 484177), datetime.datetime(2026, 3, 30, 14, 43, 30, 272644))
(67, 'C4M8', None, 'tarde', datetime.datetime(2026, 3, 13, 12, 54, 46, 50951), datetime.datetime(2026, 3, 30, 14, 43, 30, 272644))

--- CHECKING MATERIAS FOR NULLS ---
No materias with NULLs in required fields.
